generator_scope,n,eta,alpha_mean_polarization,alpha_mean_merlin_dual_rail,alpha_mean_abs_delta,alpha_std_polarization,alpha_std_merlin_dual_rail,alpha_std_abs_delta,herald_failure_prob_mean_polarization,herald_failure_prob_mean_merlin_dual_rail,herald_failure_prob_mean_abs_delta,herald_failure_prob_std_polarization,herald_failure_prob_std_merlin_dual_rail,herald_failure_prob_std_abs_delta,herald_success_rate_mean_polarization,herald_success_rate_mean_merlin_dual_rail,herald_success_rate_mean_abs_delta,n_draws_polarization,n_draws_merlin_dual_rail,n_draws_abs_delta,tvd_to_lossless_mean_polarization,tvd_to_lossless_mean_merlin_dual_rail,tvd_to_lossless_mean_abs_delta,tvd_to_lossless_std_polarization,tvd_to_lossless_std_merlin_dual_rail,tvd_to_lossless_std_abs_delta,tvd_to_product_marginals_mean_polarization,tvd_to_product_marginals_mean_merlin_dual_rail,tvd_to_product_marginals_mean_abs_delta,tvd_to_product_marginals_std_polarization,tvd_to_product_marginals_std_merlin_dual_rail,tvd_to_product_marginals_std_abs_delta,tvd_to_uniform_mean_polarization,tvd_to_uniform_mean_merlin_dual_rail,tvd_to_uniform_mean_abs_delta,tvd_to_uniform_std_polarization,tvd_to_uniform_std_merlin_dual_rail,tvd_to_uniform_std_abs_delta
weight1,4,0.99,5.49473274269733,4.776623628941883,0.718109113755447,1.4674471451903623,1.2191862565319687,0.24826088865839369,,,,,,,,,,5,5,0,0.019701994999999833,0.01970198480628369,1.0193716142026243e-08,1.123586702727401e-16,8.447717653656991e-09,8.44771754129832e-09,0.019701994999999844,0.019702170388893603,1.7538889375903755e-07,1.55041972118466e-16,3.7382446312579033e-08,3.7382446157537064e-08,0.6865018317428697,0.6769204344322247,0.009581397310645001,0.07575350913987569,0.0734446490662247,0.002308860073650998
weight1,4,0.95,3.950516310731435,3.4342214102392163,0.5162949004922188,1.055042010899517,0.8765512765646395,0.1784907343348776,,,,,,,,,,5,5,0,0.0927468750000001,0.09274684651231269,2.8487687417366736e-08,1.2734335527125288e-16,7.759271232089455e-09,7.7592711047461e-09,0.09274687500000012,0.0927470320949226,1.570949224871665e-07,1.1410208772874278e-16,3.5399103280114664e-08,3.5399103166012576e-08,0.631142187055718,0.6195974597820907,0.01154472727362732,0.0711939855797428,0.06946541910168863,0.0017285664780541665
weight1,4,0.9,2.5633333767483726,2.2283299842032265,0.3350033925451461,0.684574923299009,0.5687593390127637,0.11581558428624539,,,,,,,,,,5,5,0,0.17195000000000005,0.17194994873699443,5.126300561819619e-08,6.568167990716596e-17,1.6402646183332497e-08,1.6402646117650816e-08,0.17195000000000008,0.17195013431960432,1.3431960424470368e-07,3.0404709722440586e-17,2.7544103834422723e-08,2.754410380401801e-08,0.5748869144150209,0.559177006465734,0.01570990794928695,0.06322915718790235,0.06619548636367671,0.002966329175774357
weight1,4,0.8,0.9990446831412981,0.868479020365657,0.13056566277564108,0.26680920380372136,0.22167073591476175,0.045138467888959616,,,,,,,,,,5,5,0,0.2951999999999999,0.2951998969195927,1.0308040720996559e-07,7.850462293418876e-17,2.4295524828309868e-08,2.4295524749805246e-08,0.29519999999999996,0.2952000825022026,8.250220262517871e-08,3.510833468576701e-17,1.8702998406078462e-08,1.8702998370970128e-08,0.49366849695250936,0.47834720744832,0.015321289504189373,0.04647465852187193,0.05442301485441282,0.007948356332540887
weight1,4,0.6,0.10001727548355208,0.08694597536475396,0.013071300118798118,0.026711047152041915,0.022192105060318185,0.004518942091723731,,,,,,,,,,5,5,0,0.43519999999999986,0.435199837093856,1.6290614385239266e-07,7.447602459741819e-17,3.6977477285612506e-08,3.697747721113648e-08,0.4351999999999999,0.4352000226764659,2.2676465982751637e-08,0.0,5.941595708368343e-09,5.941595708368343e-09,0.44270905237853897,0.43720871410655776,0.005500338271981209,0.010069894876810571,0.002845122887728699,0.0072247719890818725
weight1,4,0.35,0.001340940079749014,0.0011656919758017657,0.0001752481039472482,0.00035811727049222614,0.00029753142046332683,6.058585002889931e-05,,,,,,,,,,5,5,0,0.49249687499999995,0.4924966922846904,1.8271530954905302e-07,8.95090418262362e-17,4.2265277936150455e-08,4.2265277846641413e-08,0.49249687499999995,0.49249687786730034,2.8673003971135813e-09,4.2998752849492583e-17,6.378479551481606e-10,6.378479121494077e-10,0.49249687499999995,0.49249687786730034,2.8673003971135813e-09,5.551115123125783e-17,6.378479765271291e-10,6.378479210159778e-10
weight1,4,0.05,2.326082166147657e-10,2.0220852931161808e-10,3.0399687303147607e-11,6.212135865439716e-11,5.161174012226093e-11,1.0509618532136226e-11,,,,,,,,,,5,5,0,0.499996875,0.499996689418649,1.8558135100876783e-07,8.599750569898517e-17,4.289504524599052e-08,4.2895045159993015e-08,0.499996875,0.4999968750012589,1.258881887622465e-12,3.510833468576701e-17,2.853556827649784e-13,2.8532057443029265e-13,0.499996875,0.4999968750012589,1.258881887622465e-12,0.0,2.853835897191383e-13,2.853835897191383e-13
weight1,5,0.99,7.193785216878865,5.3881317773795505,1.8056534394993147,3.8013235483163523,1.655933614447081,2.1453899338692715,,,,,,,,,,5,5,0,0.02450497504999996,0.024504975341997692,2.919977315496425e-10,1.6835935957504456e-16,3.05017142634463e-09,3.0501712579852704e-09,0.02450497504999997,0.02450518368935805,2.0863935807843847e-07,1.0849998518463944e-16,3.375978928023835e-08,3.375978917173837e-08,0.6876424802069183,0.6588046154305957,0.028837864776322664,0.13333135503411359,0.0790053348559746,0.05432602017813899
weight1,5,0.95,4.762572215123138,3.5671579558674567,1.1954142592556818,2.5166275286377653,1.0962940355374449,1.4203334931003204,,,,,,,,,,5,5,0,0.1131095312500002,0.11310948254171578,4.870828441971842e-08,9.057848289240456e-17,1.0059823143190458e-08,1.0059823052611976e-08,0.11310953125000023,0.11310969088907612,1.596390758890065e-07,1.3988369538646852e-16,2.3571372694122787e-08,2.357137255423909e-08,0.6206319563231196,0.59188772906299,0.028744227260129596,0.12006251011409967,0.07239674796316643,0.04766576215093324
weight1,5,0.9,2.773515615965013,2.0773580430432284,0.6961575729217846,1.465574785003826,0.6384340624268473,0.8271407225769788,,,,,,,,,,5,5,0,0.20475500000000016,0.20475492131925677,7.868074339278941e-08,1.7772239894833365e-16,1.4638578912593455e-08,1.4638578734871057e-08,0.2047550000000001,0.2047551296666171,1.2966661699920223e-07,1.342635627393543e-16,1.885743607903039e-08,1.8857435944766826e-08,0.5568397223948394,0.5291616454735305,0.02767807692130886,0.10542905243997928,0.061130471350149505,0.04429858108982978
