n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
2,weight1,small_angle,2,200,-8.799370522620625e-05,3.9302204309285e-06,0.001982478355727623,-0.00019060636573925725,0.0017275041056777482,0.001984430226308785,9.0,1.2000000000000002
3,weight1,small_angle,3,300,4.569304407565833e-05,2.096117084540083e-06,0.0014477973216372804,6.979693831257883e-05,0.0011895309182702602,0.0014485181872579244,9.0,0.4000000000000001
4,weight1,small_angle,3,300,-1.3015157092440567e-05,1.2584715813060195e-06,0.0011218161976482687,-7.935583767441683e-05,0.0009302662918860053,0.001121891695138243,9.0,0.4000000000000001
5,weight1,small_angle,3,300,6.411494172585067e-06,5.988460886113464e-07,0.0007738514641785893,-1.746744485668323e-05,0.0006049737575380246,0.000773878023895802,9.0,0.17142857142857146
6,weight1,small_angle,3,300,4.355218559267305e-05,5.497309654799268e-07,0.0007414384434866638,3.505313899765677e-05,0.0005336718064448557,0.0007427164723835236,9.0,0.17142857142857146
2,weight1,uniform,2,200,-0.0001917269489549523,4.108163780957102e-05,0.0064094959091625155,0.000307590342672988,0.005778203718087619,0.0064123628275797534,9.0,1.2000000000000002
3,weight1,uniform,3,300,0.000359705923566023,1.9235838855107865e-05,0.004385868084553828,0.0008545590053037539,0.003586371155909435,0.004400593960655352,9.0,0.4000000000000001
4,weight1,uniform,3,300,0.00011869982254173563,9.318312134712623e-06,0.0030525910526489823,9.83859525711451e-05,0.0025074083375825275,0.0030548979987200984,9.0,0.4000000000000001
5,weight1,uniform,3,300,7.122941659904539e-06,3.3814881370803887e-06,0.0018388823064786905,2.6865937518180816e-05,0.0013230121943191538,0.0018388961018443318,9.0,0.17142857142857146
6,weight1,uniform,3,300,-4.514274871348505e-05,2.627547717800998e-06,0.0016209712267036074,-6.0866614371596494e-05,0.00112540140841232,0.0016215996995443747,9.0,0.17142857142857146
